"network","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"BEST",778,0,0,0,"16896816"
"BGC Bus",11,0,0,0,"11192391"
"BMTA",254,0,0,0,"13513506"
"BMTC",854,0,0,0,"10104371"
"BRT",14,0,0,0,"11549145"
"BRT Tangerang",8,0,0,0,"17770414"
"BRT Trans Cirebon",1,0,0,0,"19526732"
"BSC",1,0,0,0,"10512322"
"BSD Link",9,0,0,0,"13154330"
"Bacninhbus",16,0,0,0,"18529573"
"Bas KK",7,0,0,0,"17860165"
"Bas Muafakat Johor",35,0,0,0,"13234817"
"Batik Solo Trans",10,0,0,0,"18650198"
"Batumi Botanical Garden",1,0,0,0,"4194070"
"Big 10",7,0,0,0,"17542070"
"Bis Kuning Universitas Indonesia",2,0,0,0,"17349563"
"Brunei-Muara bus",47,0,0,0,"5611182"
"Bus Kota Damri",10,0,0,0,"17565369"
"Bus Suroboyo",10,0,0,0,"13130304"
"CAT Penang",1,0,0,0,"8434860"
"CEBRT",2,0,0,0,"20586938"
"CTB",162,0,0,0,"10692346"
"CTB;KMB",12,0,0,0,"10397426"
"Causeway Link",75,0,0,0,"14165147"
"Ceres Liner",6,0,0,0,"10722276"
"Chandigarh Transport Undertaking",110,0,0,0,"16450017"
"City",1,0,0,0,"2845932"
"City Bus",4,0,0,0,"14655124"
"City bus",1,0,0,0,"10659777"
"Citybus",4,0,0,0,"15876780"
"CoCoバス",4,0,0,0,"19590713"
"Coaster Bus",1,0,0,0,"14231548"
"Cross-harbour Bus",15,0,0,0,"10028133"
"DAD E-BUS",4,0,0,0,"19801319"
"DCBus",2,0,0,0,"14330253"
"DLT",12,0,0,0,"13727778"
"DLTBCo",4,0,0,0,"11601191"
"DOTr Medical Route",4,0,0,0,"11049092"
"DTC",8,0,0,0,"10164599"
"Dali",1,0,0,0,"3780514"
"Damri",14,0,0,0,"19297687"
"Damri KSPN",2,0,0,0,"19594194"
"DanaBus",48,0,0,0,"11506628"
"Delhi Public Transport",23,0,0,0,"11232098"
"Delhi Transport Corporation",1,0,0,0,"15089771"
"Delhi Transport Network",1,0,0,0,"20040719"
"Dubai Bus",7,0,0,0,"15016852"
"Erbil Public Transport",1,0,0,0,"20419988"
"GBRT",2,0,0,0,"6796570"
"GOKL City Bus",5,0,0,0,"14757592"
"Georgian Bus",6,0,0,0,"14243619"
"Goa",2,0,0,0,"19969746"
"Gori Bus Network",27,0,0,0,"12290585"
"Govt-Pvt",1,0,0,0,"2804337"
"Hanoi BRT",2,0,0,0,"12031903"
"Hanoibus",328,0,0,0,"11183589"
"Hasake- Qamislo",1,0,0,0,"1994588"
"High-Frequency Buses",4,0,0,0,"1661290"
"Hop-on Hop-off Bus",1,0,0,0,"11117854"
"IKEBUS",2,0,0,0,"10703669"
"IN:MDR:TN",1,0,0,0,"12952265"
"IN:NH",2,0,0,0,"3256768"
"IN:SH:KL",1,0,0,0,"17218799"
"ITC",3,0,0,0,"16228387"
"Integrated Transport Centre",1,0,0,0,"17591219"
"JAPS",2,0,0,0,"10676562"
"JP:municipal:kyoto",1,0,0,0,"13125494"
"JRバス",1,0,0,0,"19131862"
"JRバス関東",18,0,0,0,"14298116"
"JR北野三師団線",1,0,0,0,"7701176"
"JR北野線",1,0,0,0,"7701175"
"Jaipur City Bus",18,0,0,0,"16307004"
"Jurong Island Bus Services",3,0,0,0,"18125329"
"KMB",491,0,0,0,"10332701"
"KPTC",1,0,0,0,"7729418"
"KSRTC",13,0,0,0,"15728171"
"KSRTC FP",1,0,0,0,"17005003"
"KSRTC SF",2,0,0,0,"17296060"
"KSRTC TT",1,0,0,0,"18615353"
"KSRTC1",1,0,0,0,"8858197"
"KSRTC;Alappuzha Buses",1,0,0,0,"18615162"
"KSRTC;Private",6,0,0,0,"19604409"
"Kaduwela - Gampaha",1,0,0,0,"2456796"
"Kavim",6,0,0,0,"8394987"
"Kitti Soontron",4,0,0,0,"16691865"
"Kochi city bus",506,0,0,0,"13489072"
"Kolkata Private Bus",405,0,0,0,"15075264"
"Koridor 1 (K1) (Bubulak-Cidangiang)",1,0,0,0,"20237323"
"Kottakkal - Perintalmanna",1,0,0,0,"3184466"
"Kottayam Buses",10,0,0,0,"12153822"
"Kottayam Buses;Pathanamthitta Buses",1,0,0,0,"18542302"
"LRT Feeder Bus",3,0,0,0,"16953053"
"LTD",2,0,0,0,"6903687"
"LTFRB Cordillera Administrative Region",1,0,0,0,"10822551"
"LTFRB Inter-Regional Inter-Provincial Bus",1,0,0,0,"17892714"
"LTFRB Interregional Bus",212,0,0,0,"10025550"
"LTFRB National Capital Region",358,0,0,0,"10040392"
"LTFRB Negros Island Region",1,0,0,0,"14998327"
"LTFRB PUB",36,0,0,0,"10672027"
"LTFRB PUJ",81,0,0,0,"10040389"
"LTFRB Region III",24,0,0,0,"10649843"
"LTFRB Region IV-A",80,0,0,0,"10018379"
"LTFRB Region VI",6,0,0,0,"15029060"
"LTFRB Region VII",50,0,0,0,"20587180"
"LTFRB Region VIII",12,0,0,0,"19847419"
"LTFRB Region XIII",4,0,0,0,"19876067"
"LTFRB–National Capital Region",34,0,0,0,"10183828"
"Land Transport Authority",782,0,0,0,"1147131"
"MLG-JBG",1,0,0,0,"4058474"
"MLG-JBG-TBN",1,0,0,0,"8184943"
"MO Bus",32,0,0,0,"16340500"
"MRT Feeder Bus",17,0,0,0,"11348615"
"MTC",50,0,0,0,"10632032"
"MTR Bus",1,0,0,0,"3303836"
"Macau",94,0,0,0,"11242923"
"Madona",2,0,0,0,"19969540"
"Maraliner Central",1,0,0,0,"18786968"
"Mehsana City Bus Service",2,0,0,0,"13177152"
"Metro Feeder",2,0,0,0,"18395030"
"Metro Jabar Trans",16,0,0,0,"14298213"
"MetroConnect",2,0,0,0,"18713308"
"Metropolitan Transport Corporation",13,0,0,0,"13601027"
"Mo Bus",1,0,0,0,"16949465"
"Mofussil Kochi bus",306,0,0,0,"10403637"
"Mofussil bus",2,0,0,0,"15508254"
"NFB-A06",2,0,0,0,"10517734"
"NGV-3",1,0,0,0,"10394363"
"NMRC",2,0,0,0,"10387037"
"NT Bus",1,0,0,0,"6498271"
"NTU",1,0,0,0,"2571811"
"NUS ISB",8,0,0,0,"20072341"
"Nadi Putra",1,0,0,0,"17614394"
"Nara-kotsu",1,0,0,0,"19797972"
"Nバス",18,0,0,0,"19908401"
"Ohmi Bus",9,0,0,0,"19325944"
"Omnibus",2,0,0,0,"15881817"
"Ordinary bus",104,0,0,0,"12740709"
"Outer City",1,0,0,0,"2181884"
"P&O Transport",2,0,0,0,"11181684"
"P2P",66,0,0,0,"10091291"
"PH",7,0,0,0,"13940394"
"PH:BEN",2,0,0,0,"16237133"
"PH:CAR",4,0,0,0,"13970692"
"PH:CAR:Baguio",71,0,0,0,"10813981"
"PH:CAR:Benguet",19,0,0,0,"11190024"
"PH:CAR:La Trinidad",2,0,0,0,"13973786"
"PH:PUB",8,0,0,0,"10653007"
"PH:PUB:Batangas",1,0,0,0,"10512321"
"PH:PUB:Cagayan Valley",6,0,0,0,"5457129"
"PH:PUB:Palawan",6,0,0,0,"13790876"
"PH:PUB:Pasig",3,0,0,0,"10665083"
"PH:PUJ:Batangas",1,0,0,0,"10755762"
"PH:PUJ:Batangas City",2,0,0,0,"10755763"
"PH:PUJ:Camarines Sur",6,0,0,0,"10736498"
"PH:PUJ:Cebu",3,0,0,0,"14140743"
"PH:PUJ:Imus",2,0,0,0,"10627898"
"PH:PUJ:Lucena",1,0,0,0,"3902129"
"PH:PUJ:Quezon",2,0,0,0,"4038891"
"PH:PUVMP",1,0,0,0,"14196973"
"PH:PUVMP:Bataan",9,0,0,0,"14332756"
"PH:PUVMP:Cagayan Valley",2,0,0,0,"10660710"
"PH:PUVMP:Central Luzon",1,0,0,0,"10040388"
"PH:PUVMP:Quezon",2,0,0,0,"9648838"
"PH:PUVMP:Siargao",2,0,0,0,"12565653"
"PH:UV:Metro Manila",2,0,0,0,"11045872"
"PJ City Bus",3,0,0,0,"18003043"
"PJ Free Bus",1,0,0,0,"4764514"
"PMPML",6,0,0,0,"3749749"
"PPCB",26,0,0,0,"10056941"
"PUB",7,0,0,0,"11495326"
"PUJ",10,0,0,0,"14998324"
"Pasig Transport",5,0,0,0,"10664496"
"Perak Transit Stage Bus",2,0,0,0,"18823410"
"Phnom Penh City Bus",8,0,0,0,"4043310"
"Private",7,0,0,0,"12736910"
"Private Bus",2,0,0,0,"14590469"
"Private Bus Owners;KSRTC",1,0,0,0,"19608976"
"Private bus",1,0,0,0,"18397698"
"Private,KSRTC",3,0,0,0,"17899797"
"Private;KSRTC",1,0,0,0,"19604362"
"Public Utility Vehicle",1,0,0,0,"3162038"
"Pune Mahanagar Parivahan Mahamandal Limited",3,0,0,0,"9954704"
"Pune Mahanagar Parivahan Mahamandal Ltd",24,0,0,0,"9954848"
"Punjab MassTransit Authority",1,0,0,0,"19984670"
"QCityBus",17,0,0,0,"11158090"
"Qamislo-Hasake",1,0,0,0,"2091247"
"Qatar Rail",1,0,0,0,"13930559"
"RTA",22,0,0,0,"11500109"
"RTL",2,0,0,0,"19926694"
"RTO 17",1,0,0,0,"16271332"
"RTO06",22,0,0,0,"17823832"
"RTO17",19,0,0,0,"16271330"
"RTo06",1,0,0,0,"17899801"
"RU:SAR:Саратов:автобусы",120,0,0,0,"14722495"
"RU:SAR:Саратовская область:автобусы",1,0,0,0,"17585392"
"RU:municipal",2,0,0,0,"9623514"
"Rapid KL Bus",91,0,0,0,"11257432"
"Rapid KL On-Demand",3,0,0,0,"18625025"
"Rapid Penang",26,0,0,0,"10340136"
"Regional Transit Corporation",8,0,0,0,"17328605"
"Regional Transport Authority Faisalabad",1,0,0,0,"14168850"
"Riyadh Transit Netwok",1,0,0,0,"10864242"
"Riyadh Transit Network",8,0,0,0,"10874440"
"Riyadh transit Network",1,0,0,0,"10893956"
"Road Network",1,0,0,0,"3086619"
"SATRIA",1,0,0,0,"18964267"
"SBS",13,0,0,0,"1155343"
"SBST Melaka",3,0,0,0,"18018985"
"SCMC",9,0,0,0,"19210086"
"Sentosa",3,0,0,0,"2353584"
"Sharjah Roads and Transport Authority",2,0,0,0,"17565112"
"Shuttle",1,0,0,0,"18570752"
"Smart Selangor Bus",10,0,0,0,"12046127"
"Songthaew",2,0,0,0,"2793245"
"State Transport",1,0,0,0,"20438310"
"Super Fast Passenger",1,0,0,0,"18440200"
"Supreme",2,0,0,0,"10535500"
"Sutera Loop",5,0,0,0,"11557649"
"Suvarna",2,0,0,0,"9385481"
"TNSTC",2,0,0,0,"2427361"
"TNSTC Salem",10,0,0,0,"16770928"
"TSB",196,0,0,0,"13936340"
"TU",1,0,0,0,"10394626"
"Thane Municipal Transport",75,0,0,0,"12794472"
"Thiruvananthapuram City Circular",13,0,0,0,"16800706"
"Tirur, Karathur, Kuttipuram",1,0,0,0,"3169390"
"Trans Banyumas",1,0,0,0,"14067697"
"Trans Depok",4,0,0,0,"18350459"
"Trans Gadjah Mada",3,0,0,0,"20013379"
"Trans Jateng",3,0,0,0,"15622274"
"Trans Jogja",20,0,0,0,"15567307"
"Trans Mamminasata",3,0,0,0,"13633004"
"Trans Metro Bandung",14,0,0,0,"15520324"
"Trans Metro Pekanbaru",2,0,0,0,"19442436"
"Trans Semarang",5,0,0,0,"15671277"
"Trans Wibawa Mukti",2,0,0,0,"18793470"
"TransPeshawar",2,0,0,0,"20012008"
"Transjakarta",289,0,0,0,"10049799"
"Transjateng",6,0,0,0,"15467095"
"UM Shuttle Bus",4,0,0,0,"16498792"
"USAG Humphreys",1,0,0,0,"19759348"
"UV Express",2,0,0,0,"11506125"
"UZ:municipal",104,0,0,0,"10996573"
"Uiwang Town Bus",2,0,0,0,"7414776"
"VIP LINER",1,0,0,0,"17016948"
"Vayots Dzor",2,0,0,0,"11248914"
"Victory Liner",4,0,0,0,"12384508"
"Vientiane City 2 Bus",1,0,0,0,"17865427"
"Vijayawada City Bus",2,0,0,0,"19365994"
"Visakhapatnam City Bus",10,0,0,0,"17338986"
"WBSTC",6,0,0,0,"3214962"
"Wayanad Buses",23,0,0,0,"18485591"
"West Bengal Transport Corporation (WBTC)",1,0,0,0,"15351819"
"Xe buýt An Giang",28,0,0,0,"17925457"
"Xe buýt Bình Dương",18,0,0,0,"18876461"
"Xe buýt Bến Tre",14,0,0,0,"18982737"
"Xe buýt Cần Thơ",16,0,0,0,"17609894"
"Xe buýt Hòa Bình",2,0,0,0,"19778031"
"Xe buýt Hải Phòng",20,0,0,0,"19352137"
"Xe buýt Phú Quốc",7,0,0,0,"17926910"
"Xe buýt Phương Trang",2,0,0,0,"15740498"
"Xe buýt Thành phố Hồ Chí Minh",322,0,0,0,"13632526"
"Xe buýt Vĩnh Phúc",12,0,0,0,"18951384"
"Xe buýt Đồng Nai",20,0,0,0,"14753102"
"YBL",3,0,0,0,"10672029"
"YRTA",228,0,0,0,"6868151"
"YRTC",1,0,0,0,"18870368"
"YTRa",2,0,0,0,"7825621"
"Yantai Public Transport Group",2,0,0,0,"13910128"
"Yerevan Bus",11,0,0,0,"17419311"
"Yerevan Minibus",6,0,0,0,"11128173"
"Zhuanghe Bus",1,0,0,0,"13876145"
"berdskpt",47,0,0,0,"6291628"
"bulk movers Pvt Ltd road",1,0,0,0,"20035038"
"city",276,0,0,0,"11311030"
"city circular",1,0,0,0,"17823906"
"commercial",1,0,0,0,"1873621"
"erattayar",1,0,0,0,"17899800"
"hotel",2,0,0,0,"10795175"
"informal",1,0,0,0,"8818528"
"iバス",2,0,0,0,"7112105"
"jaist_shuttle",1,0,0,0,"3429948"
"kutaisi.aero",2,0,0,0,"17492969"
"local",56,0,0,0,"10128349"
"municipal",2,0,0,0,"12042002"
"myBAS",30,0,0,0,"10676464"
"national",4,0,0,0,"3745599"
"nh 361",1,0,0,0,"20045167"
"nsopt",5,0,0,0,"10126946"
"nwn",1,0,0,0,"4613549"
"private",1,0,0,0,"16271334"
"rcn",2,0,0,0,"8447994"
"region",1,0,0,0,"4000699"
"regional",27,0,0,0,"1782028"
"ru:local",40,0,0,0,"10141729"
"ru:municipal",139,0,0,0,"10663531"
"ru:regional",62,0,0,0,"2871778"
"ru:пригород",2,0,0,0,"3818297"
"rwn",1,0,0,0,"2122741"
"smart bus",70,0,0,0,"13518349"
"unknown",2,0,0,0,"12379426"
"Đường liên Huyện",1,0,0,0,"13674873"
"АА",1,0,0,0,"16780482"
"Автобус Балхаш",2,0,0,0,"16475427"
"Автобусные маршруты Екатеринбурга",2,0,0,0,"2819983"
"Автобусный маршрут Кок тобе",1,0,0,0,"18051966"
"Ангарск",1,0,0,0,"17873568"
"Базарный Карабулак",2,0,0,0,"5440965"
"Белгород АВ – Волжский АВ",1,0,0,0,"3745531"
"Вокзал Жетыген-метро Райимбек",1,0,0,0,"11380750"
"Волгоград - Серафимович",1,0,0,0,"5655873"
"Волгоград — Серафимович (через Суровикино тр)",1,0,0,0,"5655872"
"Вологодский автобус",2,0,0,0,"3719942"
"ГУП МО Мострансавто",19,0,0,0,"14439726"
"Город",1,0,0,0,"2064399"
"Городские автобусы Новосибирска",58,0,0,0,"13744166"
"Городской общественный транспорт Баксана",16,0,0,0,"13630179"
"Городской общественный транспорт Екатеринбурга",89,0,0,0,"1923630"
"Городской общественный транспорт Майского",12,0,0,0,"10309111"
"Городской общественный транспорт Нальчика",65,0,0,0,"10278311"
"Городской общественный транспорт Нарткалы",6,0,0,0,"10773835"
"Городской общественный транспорт Прохладного",24,0,0,0,"10324039"
"Городской транспорт Перми",155,0,0,0,"11172067"
"Депутатский",1,0,0,0,"16685029"
"Единая сеть маршрутов пригородного транспорта Свердловской области",16,0,0,0,"10031316"
"Затобольск-Костанай-Затобольск",1,0,0,0,"2242217"
"Кирзаводская",1,0,0,0,"15525619"
"Костанай-Заречный-Костанай",1,0,0,0,"2242216"
"Красновишерск",2,0,0,0,"3334689"
"Красноярский городской транспорт",98,0,0,0,"17954494"
"Красный Кут",1,0,0,0,"15594346"
"Маршрутные такси Екатеринбурга",1,0,0,0,"2775912"
"Межмуниципальные регулярные перевозки Свердловской области",10,0,0,0,"1185298"
"Межмуниципальный общественный транспорт Кабардино-Балкарии",6,0,0,0,"10276109"
"Михайловка - Волгоград",1,0,0,0,"3743711"
"Москва - Краснодар",1,0,0,0,"4003604"
"Нижегородский транспорт",200,0,0,0,"1016969"
"Новоаннинсктранс",1,0,0,0,"4142771"
"Новомальтинск",1,0,0,0,"18001106"
"Новосибирский автобус",4,0,0,0,"18673665"
"ОПАТП",2,0,0,0,"2690673"
"Омский автобус",128,0,0,0,"13319683"
"Оренбургская троллейбусная сеть",2,0,0,0,"3180874"
"Пригород",2,0,0,0,"17991344"
"Регулярные пасажирские перевозки муниципального образования город Мирный",2,0,0,0,"7292288"
"Регулярные пассажирские перевозки МО ""Город Екатеринбург""",9,0,0,0,"392734"
"Регулярные пассажирские перевозки Невьянского городского округа",4,0,0,0,"7705494"
"Регулярные пассажирские перевозки Первоуральского городского округа",2,0,0,0,"6717790"
"Регулярные пассажирские перевозки городского округа Верхняя Пышма",26,0,0,0,"2970348"
"Регулярные перевозки МО ""Город Екатеринбург""",1,0,0,0,"6620077"
"Рудня - Волгоград",1,0,0,0,"4633278"
"Рынок",1,0,0,0,"15486678"
"Свердловское областное объединение пассажирского автотранспорта",5,0,0,0,"5469807"
"Северский автобус",2,0,0,0,"16306361"
"Серафимович - Волгоград",1,0,0,0,"5656057"
"Серафимович - Волгоград (через Суровикино тр)",1,0,0,0,"5656058"
"Серафимович-Фролово",1,0,0,0,"3780817"
"Серышево",1,0,0,0,"16279406"
"Сеть маршрутов регулярных перевозок МО ""Город Екатеринбург""",25,0,0,0,"14738355"
"Сеть муниципальных маршрутов регулярных перевозок Миасского городского округа",49,0,0,0,"11267438"
"Тамбовский муниципальный транспорт",11,0,0,0,"1613950"
"Томский автобус",4,0,0,0,"16280392"
"Улан-Удэ",3,0,0,0,"8009779"
"Урюпинск – Волгоград",1,0,0,0,"3745603"
"Уфа",2,0,0,0,"1748778"
"Фролово",6,0,0,0,"2235421"
"Фролово - Волгоград",1,0,0,0,"2704255"
"Ярославль",2,0,0,0,"10567649"
"маршрут есть, перевозчика нет",3,0,0,0,"17356204"
"маршурт есть, перевозчика нет",1,0,0,0,"17356301"
"Երևանի տրանսպորտ",24,0,0,0,"10995220"
"באר יעקב",8,0,8,0,"13665011"
"ביתר עילית",15,0,0,0,"14031180"
"גוש דן",5,0,2,0,"15337319"
"חורה",2,0,0,0,"12799437"
"חיפה",15,0,4,0,"12728755"
"יבנה",25,0,21,0,"13350644"
"ירוחם",4,0,2,0,"12759695"
"מודיעין",1,0,0,0,"18082909"
"מטרונית",8,0,0,0,"14059323"
"מעלות-תרשיחא",9,0,9,0,"15794884"
"נהריה",11,0,11,0,"13710937"
"עכו",8,0,8,0,"15326642"
"ערערה בנגב",2,0,2,0,"12794181"
"פתח תקווה",2,0,2,0,"17834529"
"קריית מלאכי",12,0,8,0,"12868634"
"רהט",16,0,4,0,"12799930"
"רמלה–לוד",33,0,33,0,"13469932"
"שפרעם",8,0,8,0,"19105593"
"اتوبوسرانی تهران",3,0,0,0,"12198055"
"الباص السريع",2,0,0,0,"14231547"
"الشركة العامة للنفل الداخلي بحلب",1,0,0,0,"4217721"
"الشركة العامة للنقل الداخلي",1,0,0,0,"4217701"
"الشركة العامة للنقل الداخلي بحلب",24,0,0,0,"4217617"
"بل",1,0,0,0,"12319729"
"حافلات مكة",21,0,0,0,"18851885"
"سازمان اتوبوسرانی شیراز و حومه",98,0,0,0,"15926007"
"سازمان حمل و نقل جمعی شهرستان برخوار",1,0,0,0,"12429453"
"شرکت واحد اتوبوسرانی تهران",2,0,0,0,"12065403"
"عمان باص",1,0,0,0,"14277400"
"محافظة حلب",2,0,0,0,"4222153"
"รถสองแถวเมืองทองธานี",1,0,0,0,"1701250"
"รถโดยสารภายในจุฬาฯ",5,0,0,0,"14461248"
"สยามเมย์",2,0,0,0,"7838294"
"สองแถว",12,0,0,0,"18320493"
"สองแถวเมืองทองธานี",2,0,0,0,"1700755"
"ბათუმის ავტოტრანსპორტი",46,0,0,0,"14245657"
"თბილისის სატრანსპორტო კომპანია",460,0,0,0,"13711425"
"あおばルート",1,0,0,0,"7361310"
"あびこ天美北線",2,0,0,0,"12288758"
"あびバス",6,0,0,0,"19927368"
"あやめ池線 (Ayameike Line)",1,0,0,0,"3472898"
"いちい",2,0,0,0,"14433525"
"お買いものバス",1,0,0,0,"6841873"
"かしてつバス",2,0,0,0,"3770054"
"くにっこ",1,0,0,0,"19567209"
"くるりんバス",1,0,0,0,"19595916"
"く・る・る",2,0,0,0,"3365156"
"ぐるっとバス",1,0,0,0,"13117192"
"けやき坂線",3,0,0,0,"3517865"
"ことでん",49,0,0,0,"10927721"
"さいたま市コミュニティバス",2,0,0,0,"19676364"
"さいたま市乗合タクシー",2,0,0,0,"19835764"
"さくら",1,0,0,0,"17607487"
"さくらやまなみバス（有馬系統）",1,0,0,0,"7649578"
"さくらやまなみバス（金仙寺系統）",1,0,0,0,"7649579"
"さくらバス",2,0,0,0,"1685835"
"じょうてつ",41,0,0,0,"15419191"
"じょうてつバス",33,0,0,0,"15422411"
"じょうとんバス",5,0,0,0,"10020448"
"じんぐりバス",2,0,0,0,"9531536"
"すぎ丸",1,0,0,0,"11202769"
"ちばフラワーバス",6,0,0,0,"15314969"
"ちゅうバス",11,0,0,0,"10077267"
"つくバス",21,0,0,0,"10409077"
"つつじが丘線",2,0,0,0,"3517882"
"つつじバス",6,0,0,0,"2927700"
"ていじゅうろう",2,0,0,0,"14361024"
"とことこトレイン",1,0,0,0,"7496569"
"とよたおいでんバス",52,0,0,0,"15028891"
"なかもず・平尾線",2,0,0,0,"13320940"
"はなバス",1,0,0,0,"19745892"
"はーとバス 柏木巡回ルート",1,0,0,0,"3705272"
"ばんけいバス",12,0,0,0,"15410430"
"ひたちBRT",6,0,0,0,"16093852"
"ひまわりルート",1,0,0,0,"7357768"
"ふれあいバス",4,0,0,0,"5177160"
"ぶんバス",2,0,0,0,"17267320"
"まちなか線",1,0,0,0,"6183163"
"まめバス",16,0,0,0,"18271326"
"まやビューライン 坂バス",1,0,0,0,"13310076"
"みたかシティバス",1,0,0,0,"4615555"
"みどりバス",9,0,0,0,"19763790"
"もろバス",5,0,0,0,"18067844"
"イオンりんくう線",1,0,0,0,"12200190"
"オレンジゆずるバス",3,0,0,0,"3339759"
"カリー観光バス",1,0,0,0,"18764555"
"クオン新浦安線",1,0,0,0,"18396354"
"コスモスライナー",5,0,0,0,"19358492"
"サンデン交通",35,0,0,0,"4171710"
"ザマフレンド号",7,0,0,0,"3805144"
"シティー・ループ",1,0,0,0,"9135129"
"シンボルロード線",3,0,0,0,"18352883"
"ジェイ・アール北海道バス",223,0,0,0,"13125329"
"スカイツリーシャトル",2,0,0,0,"13724005"
"ターミナル連絡バス",4,0,0,0,"10042442"
"ターミナル間無料連絡バス",3,0,0,0,"3365348"
"テクノステージ線",2,0,0,0,"16117753"
"トモテツバス",5,0,0,0,"13870849"
"ハチ公バス",2,0,0,0,"19306191"
"ハッピーバス",1,0,0,0,"3281849"
"ハーモニーヒルズ木津線 (Harmony Hills Kizu Line)",4,0,0,0,"3959553"
"ハーヴェストウォーク線",2,0,0,0,"11059614"
"ピンクバス",2,0,0,0,"19326454"
"ブルーライン交通",3,0,0,0,"5397060"
"プリンセスラインバス",1,0,0,0,"17457160"
"ムーバス",9,0,0,0,"19757215"
"メゾン千里丘線",2,0,0,0,"3508932"
"ライフバス",13,0,0,0,"20262857"
"リムジンバス",1,0,0,0,"5145622"
"七彩丹霞观光车",3,0,0,0,"19548731"
"三宅村営バス",2,0,0,0,"17713714"
"三沙市公交",2,0,0,0,"13042492"
"三河公交",1,0,0,0,"18564753"
"三笠市営バス",4,0,0,0,"19694619"
"上久我線",4,0,0,0,"15059085"
"上海公交",3415,0,0,0,"10150668"
"上粕尾山の神線",2,0,0,0,"6841290"
"上饶公交",32,0,0,0,"11495176"
"下北交通",2,0,0,0,"18133645"
"下小林線",2,0,0,0,"5613165"
"下花园公交",2,0,0,0,"15635577"
"下野大沢線",2,0,0,0,"5611094"
"世田谷区コミュニティバス",2,0,0,0,"19370905"
"东山公交",12,0,0,0,"17555692"
"东川公交",16,0,0,0,"20350932"
"东莞公交",10,0,0,0,"14866024"
